Bank Ticker,BAC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,C,C,C,C,C,C,C,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,JPM,JPM,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,MS,MS,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC,WFC,WFC,WFC,WFC,WFC,WFC,WFC
Stock Info,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-03 00:00:00+00:00,47.08,47.18,46.15,46.92,16296700,33.3574889918,33.4283417721,32.6985581344,33.2441245432,16296700,0.0,1.0,49.29,49.38,48.11,49.0,15376000,388.0704671431,388.7790559449,378.78008063,385.7872365593,1537600,0.0,1.0,128.87,129.44,124.23,126.7,6188700,106.8929010617,107.3656949905,103.0441925886,105.0929662801,6188700,0.0,1.0,40.19,40.36,39.3,39.83,12838600,27.7222779842,27.8395406678,27.108373346,27.4739570069,12838600,0.0,1.0,58.31,58.49,56.74,57.17,5377000,37.785449518,37.9020912761,36.7680741837,37.0467183835,5377000,0.0,1.0,63.8,63.95,62.39,63.2,5508200,20.8568662147,20.905902734,20.3959229332,20.6607201375,11016400,0.0,1.0
2006-01-04 00:00:00+00:00,46.58,47.24,46.45,47.0,17757900,33.00322509,33.4708534403,32.9111164755,33.3008067675,17757900,0.0,1.0,48.38,49.1,48.35,48.86,18709000,380.9058470355,386.5745574503,380.6696507682,384.684987312,1870900,0.0,1.0,127.09,128.91,126.38,127.35,4861600,105.416456863,106.926079583,104.8275381095,105.6321172515,4861600,0.0,1.0,39.62,40.14,39.42,39.78,13491500,27.5636284709,27.9253923984,27.4244884989,27.6749404486,13491500,0.34,1.0,58.35,59.28,58.35,58.7,7977800,37.8113699087,38.4140189921,37.8113699087,38.0381733272,7977800,0.0,1.0,63.06,63.64,62.73,63.6,5435000,20.6149527194,20.8045605941,20.5070723769,20.791484189,10870000,0.0,1.0
2006-01-05 00:00:00+00:00,46.64,46.83,46.32,46.58,14970700,33.0457367582,33.1803570409,32.8190078611,33.00322509,14970700,0.0,1.0,48.62,48.78,48.4,48.44,11431000,382.7954171738,384.0551305993,381.0633112137,381.3782395701,1143100,0.0,1.0,127.04,127.32,125.61,126.0,3717400,105.3749837113,105.6072333606,104.1888515741,104.512342157,3717400,0.0,1.0,39.74,39.81,39.5,39.61,8109400,27.6471124542,27.6958114444,27.4801444877,27.5566714723,8109400,0.0,1.0,58.51,58.59,58.02,58.55,5778000,37.9150514714,37.9668922528,37.5975266855,37.9409718621,5778000,0.0,1.0,62.99,63.11,62.62,63.0,5079000,20.5920690104,20.6312982259,20.4711122628,20.5953381117,10158000,0.0,1.0
2006-01-06 00:00:00+00:00,46.57,46.91,46.35,46.8,12599800,32.9961398119,33.2370392652,32.8402636952,33.1591012068,12599800,0.0,1.0,48.62,48.9,48.2,48.88,13702000,382.7954171738,384.9999156684,379.4886694318,384.8424514902,1370200,0.0,1.0,128.84,129.25,127.29,127.29,4319600,106.8680171707,107.2080970142,105.5823494696,105.5823494696,4319600,0.0,1.0,40.02,40.24,39.55,39.92,7966900,27.8419084151,27.9949623844,27.5149294807,27.7723384291,7966900,0.0,1.0,58.57,58.85,58.05,58.77,6889800,37.9539320574,38.1353747922,37.6169669786,38.0835340109,6889800,0.0,1.0,63.36,63.55,62.77,63.16,4201900,20.7130257581,20.7751386825,20.5201487821,20.6476437323,8403800,0.0,1.0
2006-01-09 00:00:00+00:00,46.6,46.97,46.36,46.72,15619400,33.017395646,33.2795509334,32.8473489732,33.1024189825,15619400,0.0,1.0,48.39,48.74,48.3,48.6,16807000,380.9845791246,383.7402022429,380.2759903228,382.6379529956,1680700,0.0,1.0,130.39,130.62,128.0,128.5,4723500,108.1536848718,108.3444613694,106.171268223,106.5859997395,4723500,0.0,1.0,40.67,40.72,39.88,39.88,16575200,28.2941133244,28.3288983174,27.7445104347,27.7445104347,16575200,0.0,1.0,59.19,59.29,58.6244,58.63,4144500,38.355698113,38.4204990897,37.9891837888,37.9928126435,4144500,0.0,1.0,63.35,63.65,63.11,63.35,2809800,20.7097566568,20.8078296954,20.6312982259,20.7097566568,5619600,0.0,1.0
2006-01-10 00:00:00+00:00,46.21,46.51,45.88,46.4,15634600,32.7410698027,32.9536281437,32.5072556275,32.8756900853,15634600,0.0,1.0,48.54,48.55,48.08,48.3,13658000,382.165560461,382.2442925501,378.5438843627,380.2759903228,1365800,0.0,1.0,132.03,132.95,130.02,130.05,5536800,109.514004246,110.2771102363,107.8467835496,107.8716674406,5536800,0.0,1.0,40.73,40.75,40.07,40.5,16614800,28.335855316,28.3497693132,27.8766934081,28.1758443481,16614800,0.0,1.0,59.22,59.22,58.58,58.85,4713600,38.375138406,38.375138406,37.9604121551,38.1353747922,4713600,0.0,1.0,63.3,63.37,62.89,63.1,3578900,20.6934111503,20.7162948593,20.5593779975,20.6280291246,7157800,0.0,1.0
2006-01-11 00:00:00+00:00,46.1,46.25,45.75,46.06,14742100,32.6631317443,32.7694109148,32.415147013,32.6347906321,14742100,0.0,1.0,48.98,49.58,48.58,49.58,16843000,385.6297723812,390.3536977268,382.4804888174,390.3536977268,1684300,0.0,1.0,131.97,133.8,131.42,131.45,4671400,109.464236464,110.9821538143,109.0080317958,109.0329156868,4671400,0.0,1.0,40.7,40.87,40.61,40.73,12332300,28.3149843202,28.4332532965,28.2523713328,28.335855316,12332300,0.0,1.0,59.57,59.88,58.84,59.15,5837900,38.7769044616,38.9786979883,38.3017132537,38.5035067803,5837900,0.27,1.0,63.63,63.79,63.15,63.3,4023500,20.8012914928,20.8535971134,20.644374631,20.6934111503,8047000,0.0,1.0
2006-01-12 00:00:00+00:00,45.8,46.23,45.71,46.22,10546600,32.4505734032,32.7552403587,32.3868059009,32.7481550807,10546600,0.0,1.0,49.03,49.1,48.88,49.1,12300000,386.0234328266,386.5745574503,384.8424514902,386.5745574503,1230000,0.0,1.0,132.25,133.21,131.38,131.4,3725500,109.6964861132,110.4927706249,108.9748532745,108.9914425352,3725500,0.0,1.0,39.95,40.42,39.9,40.25,12230000,27.7932094249,28.1201883593,27.7584244319,28.001919383,12230000,0.0,1.0,59.47,59.78,59.27,59.63,3817700,38.7118097756,38.9136033023,38.5816204036,38.8159612732,3817700,0.0,1.0,62.89,63.58,62.86,63.41,5381800,20.5593779975,20.7849459864,20.5495706937,20.7293712645,10763600,0.0,1.0
2006-01-13 00:00:00+00:00,45.8,46.0,45.68,45.83,10791000,32.4505734032,32.5922789639,32.3655500668,32.4718292373,10791000,0.0,1.0,48.92,49.19,48.73,49.1,9408000,385.1573798466,387.2831462521,383.6614701538,386.5745574503,940800,0.0,1.0,133.26,133.66,131.9,132.02,2894900,110.5342437765,110.8660289897,109.4061740517,109.5057096156,2894900,0.0,1.0,39.92,40.03,39.65,39.78,10961200,27.7723384291,27.8488654137,27.5844994668,27.6749404486,10961200,0.0,1.0,59.38,59.67,59.06,59.57,3430900,38.6532245582,38.8419991476,38.4449215629,38.7769044616,3430900,0.0,1.0,63.25,63.59,63.02,63.1,3182800,20.6770656439,20.7882150877,20.6018763143,20.6280291246,6365600,0.0,1.0
2006-01-17 00:00:00+00:00,45.31,45.58,45.0,45.4,14605900,32.1033947795,32.2946972864,31.8837511603,32.1671622818,14605900,0.0,1.0,48.43,48.7,48.27,48.51,12377000,381.299507481,383.4252738865,380.0397940555,381.9293641938,1237700,0.0,1.0,132.59,133.13,130.59,131.0,3621600,109.9785035444,110.4264135822,108.3195774784,108.659657322,3621600,0.0,1.0,39.71,39.82,39.41,39.48,9941100,27.6262414584,27.702768443,27.4175315002,27.4662304905,9941100,0.0,1.0,58.81,59.46,58.68,59.45,2624700,38.2821848479,38.705300307,38.197561756,38.6987908384,2624700,0.0,1.0,62.6,63.15,62.4,62.92,5345200,20.4645740602,20.644374631,20.3991920344,20.5691853014,10690400,0.0,1.0
2006-01-18 00:00:00+00:00,45.26,45.65,44.92,45.32,10867000,32.0679683893,32.3442942327,31.8270689361,32.1104800575,10867000,0.0,1.0,48.38,48.67,48.11,48.43,12150000,380.9058470355,383.1890776192,378.78008063,381.299507481,1215000,0.0,1.0,131.85,132.68,131.01,131.06,4302700,109.3647009,110.0531552174,108.6679519523,108.7094251039,4302700,0.0,1.0,39.35,39.71,38.95,39.11,17813100,27.3757895086,27.6262414584,27.0975095644,27.2088215421,17813100,0.0,1.0,58.58,58.9,58.05,58.55,2903000,38.13246707,38.3407700653,37.7874652341,38.1129386642,2903000,0.0,1.0,63.34,63.69,62.6,62.61,5390400,20.7064875555,20.8209061005,20.4645740602,20.4678431615,10780800,0.0,1.0
2006-01-19 00:00:00+00:00,45.14,45.88,44.85,45.88,14584000,31.9829450528,32.5072556275,31.7774719898,32.5072556275,14584000,0.0,1.0,47.94,48.58,47.7,48.56,16965000,377.4416351154,382.4804888174,375.5520649772,382.3230246392,1696500,0.0,1.0,133.82,134.82,132.71,132.72,5010700,110.998743075,111.828206108,110.0780391084,110.0863337387,5010700,0.0,1.0,39.06,39.47,38.8,39.34,12091800,27.1740365491,27.4592734919,26.9931545854,27.36883251,12091800,0.0,1.0,59.35,59.98,58.71,58.75,3813000,38.6336961524,39.0437926743,38.2170901619,38.2431280363,3813000,0.0,1.0,62.61,63.64,62.54,63.61,4356700,20.4678431615,20.8045605941,20.4449594525,20.7947532902,8713400,0.0,1.0
2006-01-20 00:00:00+00:00,44.19,45.15,44.17,45.0,24950800,31.3098436395,31.9900303309,31.2956730834,31.8837511603,24950800,0.0,1.0,45.69,47.4,45.63,47.21,47776000,359.7269150693,373.1901023043,359.2545225348,371.6941926116,4777600,0.0,1.0,131.44,134.06,131.25,132.85,5679900,109.2319868147,111.4093133931,109.0740890858,110.4037541718,5679900,0.25,1.0,38.05,38.82,37.88,38.81,20902400,26.47137969,27.0070685826,26.3531107138,27.000111584,20902400,0.0,1.0,57.85,59.55,57.41,59.3,5445900,37.6572758621,38.7638855244,37.3708592436,38.6011488094,5445900,0.0,1.0,61.5,62.62,61.5,62.62,9083000,20.1049729186,20.4711122628,20.1049729186,20.4711122628,18166000,0.0,1.0
2006-01-23 00:00:00+00:00,43.96,44.39,43.49,43.5,23459500,31.1468822446,31.4515492002,30.813874177,30.820959455,23459500,0.0,1.0,46.0,46.38,45.7,46.0,20244000,362.1676098312,365.1594292168,359.8056471584,362.1676098312,2024400,0.0,1.0,132.87,134.18,131.64,131.64,3847900,110.4203749853,111.5090382745,109.3981949505,109.3981949505,3847900,0.0,1.0,38.27,38.7,37.97,38.14,13172300,26.6244336593,26.9235845993,26.4157237012,26.5339926775,13172300,0.0,1.0,58.48,58.69,57.7,57.7,3767000,38.067372384,38.2040712246,37.5596338331,37.5596338331,3767000,0.0,1.0,61.61,61.94,61.5,61.51,3523700,20.1409330327,20.2488133752,20.1049729186,20.1082420199,7047400,0.0,1.0
2006-01-24 00:00:00+00:00,44.24,44.68,44.04,44.08,13500300,31.3452700296,31.6570222632,31.2035644689,31.2319055811,13500300,0.0,1.0,46.01,46.36,45.99,46.29,20837000,362.2463419203,365.0019650386,362.0888777421,364.4508404149,2083700,0.0,1.0,133.0,134.09,132.34,132.63,3758000,110.5284102736,111.4342446134,109.9799234256,110.2209252224,3758000,0.0,1.0,38.11,38.53,38.09,38.27,9781500,26.5131216817,26.8053156231,26.4992076845,26.6244336593,9781500,0.0,1.0,58.69,59.45,58.62,58.82,3813600,38.2040712246,38.6987908384,38.1585049444,38.2886943165,3813600,0.0,1.0,61.59,61.95,61.32,61.65,4116000,20.1343948302,20.2520824765,20.0461290954,20.1540094379,8232000,0.0,1.0
2006-01-25 00:00:00+00:00,44.63,44.65,44.15,44.15,15132000,31.621595873,31.6357664291,31.2815025273,31.2815025273,15132000,0.0,1.0,46.23,46.37,46.01,46.14,15919000,363.9784478804,365.0806971277,362.2463419203,363.2698590785,1591900,0.0,1.0,133.56,134.04,132.46,133.65,3740500,110.9937930537,111.3926925795,110.0796483071,111.0685867148,3740500,0.0,1.0,38.48,38.68,38.06,38.16,14248700,26.77053063,26.9096706021,26.4783366886,26.5479066747,14248700,0.0,1.0,59.17,59.42,58.55,59.0,4011700,38.5165257175,38.6792624326,38.1129386642,38.4058647513,4011700,0.0,1.0,62.0,62.13,61.46,61.67,4290400,20.2684279829,20.3109262997,20.0918965134,20.1605476405,8580800,0.0,1.0
2006-01-26 00:00:00+00:00,44.9,45.16,44.67,45.0,18449100,31.81289838,31.9971156089,31.6499369852,31.8837511603,18449100,0.0,1.0,47.01,47.55,46.45,46.55,19885000,370.1195508297,374.3710836407,365.7105538404,366.4978747314,1988500,0.0,1.0,137.4,138.36,133.01,133.01,4808200,114.1849892601,114.9827883117,110.5367206804,110.5367206804,4808200,0.0,1.0,39.59,39.81,38.71,38.71,16187900,27.5427574751,27.6958114444,26.9305415979,26.9305415979,16187900,0.0,1.0,59.97,60.5,59.49,60.49,5790400,39.0372832057,39.3822850416,38.7248287128,39.375775573,5790400,0.0,1.0,62.57,63.0,62.37,62.48,4299000,20.4547667563,20.5953381117,20.3893847306,20.4253448447,8598000,0.0,1.0
